Time,Open,High,Low,Close,Volume,Dollar
2024-05-17,2751.47,2752.17,2724.62,2724.62,575936,1354.9
2024-05-20,2741.24,2756.41,2734.64,2742.14,582071,1355.9
2024-05-21,2733.03,2734.48,2719.74,2724.18,560819,1363.3
2024-05-22,2723.46,2733.07,2707.87,2723.46,484724,1362.9
2024-05-23,2719.03,2734.27,2704,2721.81,428080,1362.4
2024-05-24,2693.65,2696.99,2681.17,2687.6,501639,1369.5
2024-05-27,2697.16,2725.08,2693.66,2722.99,556710,1363.8
2024-05-28,2715.52,2730.12,2714.34,2722.85,440957,1358.5
2024-05-29,2719.56,2721.63,2677.07,2677.3,438981,1365
2024-05-30,2666.63,2666.63,2635.44,2635.44,372742,1379.4
2024-05-31,2657.87,2664.48,2635.77,2636.52,613718,1384.5
2024-06-03,2657.81,2690.73,2657.81,2682.52,782329,1376.1
2024-06-04,2668.73,2679.47,2659.43,2662.1,773460,1376
2024-06-05,2681.11,2697.43,2667.63,2689.5,881481,1373
2024-06-07,2718.25,2729.63,2705.23,2722.67,783871,1365.3
2024-06-10,2698.71,2718.89,2689.19,2701.17,506892,1376
2024-06-11,2716.72,2718.88,2702.17,2705.32,558893,1378.4
2024-06-12,2709.65,2730.3,2707.44,2728.17,511009,1376.2
2024-06-13,2764.18,2776.72,2752.61,2754.89,700027,1373.9
2024-06-14,2759.22,2769.16,2750.86,2758.42,644979,1379.3
2024-06-17,2754.83,2759.86,2741.03,2744.1,593985,1381.2
2024-06-18,2765.7,2772.35,2759.03,2763.92,561975,1381.1
2024-06-19,2786.16,2799.32,2786.16,2797.33,646706,1381.8
2024-06-20,2802.1,2812.62,2796.37,2807.63,758166,1384.7
2024-06-21,2794.87,2797,2777.33,2784.26,631143,1388.3
2024-06-24,2772.85,2782.9,2758.09,2764.73,594166,1389
2024-06-25,2765.76,2780.42,2765.76,2774.39,714242,1387.5
2024-06-26,2767.43,2792.07,2762.98,2792.05,535034,1388.7
2024-06-27,2767.62,2784.33,2761.55,2784.06,397169,1385.8
2024-06-28,2792.79,2797.82,2782.4,2797.82,610550,1376.7
2024-07-01,2792.96,2805.95,2783.98,2804.31,459218,1379.3
2024-07-02,2798.65,2805.42,2776.62,2780.86,538842,1388.2
2024-07-03,2797.14,2799.7,2774.71,2794.01,340338,1390.6
2024-07-04,2817.06,2824.94,2808.88,2824.94,393739,1380.4
2024-07-05,2836.21,2871.96,2836.21,2862.23,378159,1380.3
2024-07-08,2862.58,2868.99,2855.53,2857.76,425056,1383.3
2024-07-09,2872.63,2875.37,2854.13,2867.38,456429,1381.6
2024-07-10,2863.05,2871.56,2858.87,2867.99,472473,1384.7
2024-07-11,2888.76,2896.43,2879.28,2891.35,462217,1378.8
2024-07-12,2867.75,2872.25,2844.88,2857,408178,1379.6
